,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
2440,1,0,1,1,32.0,1,0,2,1,1,1,1,1,1,0,1,1,19.45,674.55
4096,0,0,0,0,20.0,1,0,1,2,0,2,0,2,0,0,1,0,89.4,1871.15
689,1,0,0,0,51.0,1,2,1,0,0,0,0,0,2,0,0,0,83.4,4149.45
3352,0,0,0,0,1.0,1,2,1,0,0,0,0,0,2,0,1,3,85.45,85.45
535,1,0,0,0,12.0,1,2,1,0,0,2,0,2,0,0,1,2,89.55,1021.75
5432,0,0,0,0,2.0,1,0,0,0,0,2,2,2,2,0,0,2,76.4,160.8
5084,0,0,1,1,22.0,1,0,2,1,1,1,1,1,1,1,0,0,20.75,452.35
3513,1,0,1,1,11.0,1,0,2,1,1,1,1,1,1,0,0,0,20.95,267.35
2124,1,0,1,0,5.0,0,1,0,0,0,0,0,0,0,0,1,2,24.95,100.4
4115,1,0,1,0,53.0,1,2,0,2,0,2,2,2,0,1,0,0,77.4,4155.95
596,1,0,0,0,16.0,0,1,0,2,2,2,2,2,0,2,0,3,54.85,916.15
309,1,0,0,1,48.0,1,2,0,2,0,2,0,2,2,1,1,1,78.75,3682.45
118,0,0,0,0,41.0,1,0,2,1,1,1,1,1,1,2,0,3,20.65,835.15
1472,1,0,1,1,13.0,1,2,1,0,0,0,0,0,0,0,1,1,74.4,896.75
5900,1,0,1,1,37.0,0,1,0,2,2,2,0,0,0,0,0,0,40.2,1448.8
4326,1,0,0,0,1.0,1,0,1,0,0,0,0,2,2,0,1,2,89.1,89.1
1469,1,0,0,0,37.0,1,2,1,0,0,0,2,2,2,0,0,0,98.8,3475.55
4657,1,0,1,0,42.0,0,1,0,0,0,0,0,0,0,0,1,1,25.1,1097.15
2949,0,0,0,0,56.0,1,0,0,2,0,2,2,0,0,1,1,1,60.25,3282.75
6774,0,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,19.65,19.65
5628,0,0,0,0,13.0,1,2,1,2,2,0,0,2,0,0,1,2,96.65,1244.5
4312,1,0,1,1,33.0,1,0,0,0,2,2,2,2,2,2,0,1,82.1,2603.1
5219,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,20.6,20.6
232,1,0,0,0,1.0,1,0,1,2,0,0,0,0,2,0,1,3,84.6,84.6
2892,1,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,0,3,20.45,20.45
3013,0,0,0,0,29.0,1,2,0,0,0,0,0,2,2,1,1,1,71.0,2080.1
1888,0,0,0,0,23.0,1,0,0,0,2,2,0,0,0,1,0,0,55.8,1327.85
3335,1,0,0,0,12.0,1,2,2,1,1,1,1,1,1,0,0,2,25.0,316.2
2573,0,0,0,0,1.0,1,0,0,0,0,0,0,0,2,0,1,3,54.75,54.75
3177,1,0,1,1,72.0,0,1,0,2,0,2,2,2,0,2,0,3,48.9,3527.0
172,1,0,1,0,14.0,1,0,0,0,2,2,2,2,2,2,0,3,81.95,1181.75
1336,0,0,1,0,15.0,1,0,1,0,2,0,0,0,0,0,0,0,75.35,1114.55
1454,1,0,1,1,29.0,1,0,2,1,1,1,1,1,1,0,1,3,20.65,654.85
5591,1,0,0,0,4.0,1,0,1,0,0,0,0,2,2,0,1,2,88.45,370.65
2528,0,0,0,0,8.0,1,0,1,0,0,0,0,2,0,0,1,0,80.1,679.3
6279,0,0,1,1,21.0,1,0,0,0,0,0,0,0,0,0,1,2,44.95,926.25
4090,0,0,0,1,1.0,1,0,0,2,0,0,0,0,0,0,0,3,49.9,49.9
3076,0,0,0,0,6.0,1,0,0,2,2,0,0,0,0,0,0,2,56.25,389.1
3382,1,0,1,1,72.0,1,2,2,1,1,1,1,1,1,2,0,1,25.55,1867.7
1551,1,0,0,0,22.0,1,2,2,1,1,1,1,1,1,2,0,3,25.25,566.5
408,0,0,0,0,1.0,1,0,2,1,1,1,1,1,1,0,1,3,19.9,19.9
3186,0,0,1,1,58.0,1,0,2,1,1,1,1,1,1,2,0,1,20.3,1160.75
2753,0,0,0,0,1.0,1,2,1,0,0,0,0,2,2,0,0,3,95.65,95.65
2733,0,0,1,0,1.0,1,0,0,0,0,0,0,2,0,0,1,3,55.3,55.3
3069,0,0,0,0,10.0,1,0,2,1,1,1,1,1,1,0,1,3,20.55,187.35
337,0,0,0,0,68.0,1,2,0,2,2,2,2,2,2,2,1,2,88.15,6148.45
5292,1,0,0,0,46.0,0,1,0,0,0,2,2,0,0,1,0,1,33.7,1537.85
4117,1,0,1,0,63.0,1,0,1,2,0,2,0,2,2,2,0,1,99.7,6330.4
6961,0,0,1,0,24.0,1,2,1,0,0,0,0,0,0,0,1,1,75.4,1747.85
4987,1,0,1,0,71.0,1,2,2,1,1,1,1,1,1,2,0,0,24.45,1730.65
1309,0,0,0,0,18.0,1,2,1,0,0,0,0,2,0,0,1,2,85.2,1553.9
6954,1,0,0,0,15.0,1,0,2,1,1,1,1,1,1,0,1,3,19.8,309.4
917,1,0,0,0,72.0,0,1,0,2,2,2,2,2,2,2,1,0,65.55,4807.45
761,0,0,0,0,22.0,1,0,1,0,0,0,0,2,2,0,0,2,89.25,1907.85
4532,0,0,0,0,15.0,1,2,1,0,2,0,0,0,0,0,1,2,79.75,1111.85
3517,1,0,1,0,70.0,1,0,1,2,2,2,2,2,2,1,1,0,109.5,7534.65
5249,1,0,0,1,72.0,0,1,0,2,2,2,2,2,2,2,0,1,67.2,4671.7
